Titre,Prix,Adresse,Description
Imou Bulb Cam 3MP 2k  caméra wifi,37 500 F Cfa,Plateau Dakar,"CMOS progressif de 3 mégapixels
3MP (2304 x 1296)
Vision nocturne : 25 m (82 pi)
Objectif fixe de 2,8 mm
Champ de vision : H : 98°D : 121°V:54°
0 ~ 340 ° panoramique et 0 ~ 90 ° inclinaison
RéseauWi-Fi : IEEE802.11 b/g/n/ax, 2,4 GHz
Application Imou : iOS, Android
ONVIF
Vidéo et audioCompression vidéo : H.265/H.264
Fréquence d'images jusqu'à 15 ips
Zoom numérique 8x
Microphone et haut-parleur intégrés, sirène
Audio bidirectionnel
Interface auxiliaireEmplacement pour carte Micro SD (jusqu'à 256 Go)
Micro et haut-parleur intégrés
Bouton de réinitialisation
Gestion des avisDétection de mouvement
Région configurable
Détection Humaine
Détection de véhicule
Général"
Faux plafond en bois,13 000 F Cfa,Liberte 6 Dakar,"Faux plafond en bois pin Hollandais.
Prix par m2"
Réfrigérateur,800 000 F Cfa,Yeumbeul Dakar,Réfrigérateur bon pour alimentation epicerie charcuterie
Machine multifonction petit dej,30 000 F Cfa,Djily mbaye Dakar,Machine à multifonctions avec machine à café venant et qualité a un prix imbattable de 30milles garanti
Déambulateur & béquilles de qualité,53 000 F Cfa,Hann maristes Dakar,"Aidez vos proches a retrouver leur mobilité, après une blessure maladie ou vieillesse. ces outils aident grandement a se tenir debout et se déplacer a la maison ou dehors.
Vendu a l'unité...!
-Déambulateur chaise ( fatigué, on s'assoie) haut de gamme , 4 roues Pliable et démontable pour un rangement facile et lors des déplacements.
-Béquilles sous aisselles et avant bras
Déambulateur pliable 2 roues.Livraison possible"
Chaise/ fauteuil d'aisance/ douche et toilettes,130 000 F Cfa,Thiès Thiès,Chaise d'aisance de qualité professionnelle premium pour la douche et les toilettes
Puff cbd 650 bouffe,10 000 F Cfa,Diamaguene Dakar,La X-BAR CBD offre aux consommateurs une expérience unique : un arôme naturel allié aux qualités de puissance et de restitution des saveurs de la X-BAR.Cette puff au CBD est composée de e-liquide fabriqué en France. Cet e-liquide est l'un des seuls au monde à base de terpènes 100% naturels et sans aucun agent de saveur ajouté. L'utilisation de terpènes permets d'offrir un goût unique : le vrai goût du cbd. Super relaxant
Puff réutilisable X-bar v2 650 bouffe,5 000 F Cfa,Diamaguene Dakar,"X-Bar V2, la première puff réutilisable ! X-BAR révolutionne la puff avec cette nouvelle version réutilisable. Une fois le liquide épuisé, vous pouvez la remplir à nouveau grâce au petit bouchon intégré dans la partie supérieure et bien entendu, il est possible de la recharger via USB-C.Même format, même sensation et même saveurs que la X-Bar 650, mais désormais sans limites ! Fini les 650 puffs, vous avez maintenant la possibilité de l'utiliser plusieurs fois avec un e-liquide X-BAR de 10 ml, vous permettant d'avoir jusqu'à environ 4000 puffs !"
VENTE ET INSTALLATION DE VIDÉO SURVEILLANCE,N/A,Nord foire Dakar,VENTE ET INSTALLATION DE VIDÉO SURVEILLANCE
MACHINE DE CAISSE LOGICIEL ACCESSIBLE A DISTANCE,425 000 F Cfa,Médina Dakar,"Nous sommes leader dans la fourniture de logiciel et de machine de caisse avec une expérience de plus 10 ans dans le domaine. Nous vous proposons nos package caisse enregistreuse tactile avec logiciel de point de vente et formation.
nos packs sont composé de :écran de caisse tactile
tiroir caisse
imprimante ticket de caisse
Lecteur code barre
Détecteur faux billet
Etiqueteuse de prix
Logiciel de caisse en version illimité sans redevance avec accès à distance
Formation et accompagnement"
