Titre,Prix,Adresse,Description,Prix_scaled
Imou Bulb Cam 3MP 2k  caméra wifi,37500.0,Plateau Dakar,cmos progressif mégapixelsmp x vision nocturne piobjectif fixe mmchamp vision h v panoramique inclinaisonréseauwifi ieee bgnax ghzapplication imou ios androidonvifvidéo audiocompression vidéo hhfréquence dimages jusquà ipszoom numérique xmicrophone hautparleur intégrés sirèneaudio bidirectionnelinterface auxiliaireemplacement carte micro sd jusquà gomicro hautparleur intégrésbouton réinitialisationgestion avisdétection mouvementrégion configurabledétection humainedétection véhiculegénéral,-0.11558470766093876
Faux plafond en bois,13000.0,Liberte 6 Dakar,faux plafond bois pin hollandaisprix,-0.12449842152888814
Réfrigérateur,800000.0,Yeumbeul Dakar,réfrigérateur bon alimentation epicerie charcuterie,0.16183189741299608
Machine multifonction petit dej,30000.0,Djily mbaye Dakar,machine multifonctions machine café venant qualité a prix imbattable milles garanti,-0.11831339557969878
Déambulateur & béquilles de qualité,53000.0,Hann maristes Dakar,aidez proches a retrouver mobilité après blessure maladie vieillesse outils aident grandement a tenir debout déplacer a maison dehorsvendu a lunitédéambulateur chaise fatigué sassoie haut gamme roues pliable démontable rangement facile lors déplacementsbéquilles sous aisselles avant brasdéambulateur pliable roueslivraison possible,-0.10994541929550139
Chaise/ fauteuil d'aisance/ douche et toilettes,130000.0,Thiès Thiès,chaise daisance qualité professionnelle premium douche toilettes,-0.08193088999623191
Puff cbd 650 bouffe,10000.0,Diamaguene Dakar,xbar cbd offre consommateurs expérience unique arôme naturel allié qualités puissance restitution saveurs xbarcette puff cbd composée eliquide fabriqué france cet eliquide lun seuls monde base terpènes naturels sans aucun agent saveur ajouté lutilisation terpènes permets doffrir got unique vrai got cbd super relaxant,-0.12558989669639214
Puff réutilisable X-bar v2 650 bouffe,5000.0,Diamaguene Dakar,xbar v première puff réutilisable xbar révolutionne puff cette nouvelle version réutilisable fois liquide épuisé pouvez remplir nouveau grce petit bouchon intégré partie supérieure bien entendu possible recharger via usbcmême format sensation saveurs xbar désormais sans limites fini puffs maintenant possibilité lutiliser plusieurs fois eliquide xbar ml permettant davoir jusquà environ puffs,-0.12740902197556547
VENTE ET INSTALLATION DE VIDÉO SURVEILLANCE,,Nord foire Dakar,vente installation vidéo surveillance,
MACHINE DE CAISSE LOGICIEL ACCESSIBLE A DISTANCE,425000.0,Médina Dakar,leader fourniture logiciel machine caisse expérience plus ans domaine proposons package caisse enregistreuse tactile logiciel point vente formationnos packs composé écran caisse tactiletiroir caisseimprimante ticket caisselecteur code barredétecteur faux billetetiqueteuse prixlogiciel caisse version illimité sans redevance accès distanceformation accompagnement,0.025397501474995338
Perceuse et visseuse à 2 batteries,55000.0,Yoff Dakar,big promo fin dannée chez senegal toolsperceuse visseuse ebi max disponible prix imbattablesvenez profiter fête remises exceptionnelleslivraison gratuite dakar,-0.10921776918383205
Vibrateur électrique à béton,130000.0,Yoff Dakar,big promo fin dannée chez senegal toolsvibrateur béton électrique disponible prix imbattablesvenez profiter fête remises exceptionnelleslivraison gratuite dakar,-0.08193088999623191
"Puissant King max 5,5 kva gazoil  triphasé",785000.0,Parcelles Assainies Dakar,désirez avoir énergie chez permanence bien ratez surtout cette spéciale occasionil tout neuf,0.15637452157547604
KIT CAMAERA ANALOGIQUE HIKVISION 8 CAM,200000.0,Médina Dakar,kit caméra analogique hikvision camtous canaux prennent charge lecture synchrone jusquà résolution ptechnologie compression h efficacecapacité dencodage jusquà mpp ipssortie hdmivga simultanéela gestion distance disponible lapplication hikconnect,-0.0564631360878051
CAMERA RESEAU IP TURRET COLOR VU SMART,40000.0,Médina Dakar,caméra réseau ip turret colorvu smart hybrid mp audiocapture grande zone superbes détails tempsimagerie panoramique haute qualité résolution mp imagerie détaillée mpexcellentes performances basse lumière grce technologie darkfighter technologie colorvusécurise zone étendue zoom optique zoom numérique vue nocturne étendue distance ir jusquà lumière blanche mprend charge v cc poese concentre classification cibles humaines véhiculaires basée lapprentissage profond,-0.11467514502135208
Moniteur Acer 32 pouces 165 hz,185000.0,Plateau Dakar,cest écran parfait jouer normalement compétition a utilisé an na aucun problème lécran a plusieurs paramètres très intéressant possibilité mettre viseurs supplémentaires voir dernière photo,-0.061920511925325133
Baignoire 180 x 70,75000.0,Point-e Dakar,baignoire haut gamme non utilisé bazardé prix visite possible point e,-0.10194126806713869
Compresseur 500L,900000.0,Ngaparou Thiès,vends compresseur nuair cvvenu deurope marque italienne heures marchecuve verticale assécheur dairtrès bon état,0.19821440299646292
stylo lampe LED professionnel pour personnel médical,6000.0,Hann maristes Dakar,faible consommation dénergie longue durée dutilisationlumière claire brillanteclip maintenir luniforme facile a transporter,-0.12704519691973082
PUISSANTE EBI MAX à  percussion  1500w,65000.0,Parcelles Assainies Dakar,chers électriciens plombiers particuliers bricoleurs ratez surtout cette spéciale offre cette toute nouvelle perceuse défie autres,-0.10557951862548537
EBI max 48v,62500.0,Parcelles Assainies Dakar,cette puissante perceuse portative travaillez rapidement surtout efficacité partout où accompagnée puissantes batteries rapidement rechargeables,-0.10648908126507203
Vente sable béton & Tous matériaux de construction,15000.0,Cambérène Dakar,livraison partout sénégal,-0.1237707714172188
Portes - Fenêtres-Balcon Métalliques,,Ngor Dakar,portes fenêtresbalcon métalliques,
SCIE A OS SANS LAME 1800mm SMBS,995000.0,Point-e Dakar,ventre matériels charcuterie,0.23277778330075644
ENSEMBLE CLIMATISEUR ARMOIRE + MOTEUR TCL,500000.0,Point-e Dakar,vente matériels électroniques,0.05268438066259549
TRANCHEUSE SAUCISSON ET JAMBON SMBS,495000.0,Point-e Dakar,vente matériels charcuterie,0.05086525538342214
Machine à souder,180000.0,Sacré-cœur Dakar,machine souder perseur,-0.06373963720449848
ELEMENT DE RAYON MURAL 5 ETAGERES,40000.0,Point-e Dakar,vente détagères meubles rayons,-0.11467514502135208
CONGELATEUR VITRINE HORIZONTAL SMBS 912L,595000.0,Point-e Dakar,vente matériels électroniques,0.08724776096688901
Rayon dos à dos avec 2TG : 12 ELEMENTS DE 6 ETAGERES,40000.0,Point-e Dakar,vente détagères rayons,-0.11467514502135208
FRIGO VITRINE CHARCUTERIE SMBS,990000.0,Point-e Dakar,vente darticles électroniques,0.23095865802158308
BALANCE CONNECTEE AVEC IMPRESSION TICKET,625000.0,Point-e Dakar,vente matériels électroniques,0.09816251264192906
FRIGO VITRINE 3 PORTES 1320L SMBS,1110000.0,Point-e Dakar,frigo vitrine portes smbswanter,0.2746176647217433
